Demonstrator:,LeCheylas
Site Owner:,EDF
Sensor type:,AcousticEmission
Measurement units:,multiple
Sensor location:,MIV S6
Orientation:,NA
Sensor installed by:,NORCE
Sensor installed on:,01.01.2026
Sensor scaling factor:,NA
Pre-processing performed:,Calculated
Sensor precision:,16 bit
Sensor sampling rate:,=1/1000000
Sensor range:,15kHz-70kHz

Arrival time,Amplitude,Counts,Duration,Energy,Rise counts,Rise Time,RMS(mV),ASL(dB),External Parametrics1,External Parametrics2,External Parametrics3,External Parametrics4,External Parametrics5,Frequency Centroid(kHz),Peak Frequency(kHz),Partial Power1(%),Partial Power2(%),Partial Power3(%),Partial Power4(%),Partial Power5(%),AverageFreq,EchoFreq,InitFreq
23:11:29:35:263 249500,34.0,2084,12000.0,0.0,1864,10647.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,747.1,283.2,42.0,9.0,14.0,8.0,5.0,173.7,162.6,175.1
23:11:29:35:275 249500,34.0,2104,12000.0,0.0,1854,10575.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,800.8,278.3,40.0,9.0,14.0,11.0,5.0,175.3,175.4,175.3
23:11:29:35:287 249500,34.0,2095,12000.0,0.0,35,192.0,0.012,19.0,4294967292.0,7.0,4294967268.0,4294967275.0,0.0,712.9,283.2,46.0,7.0,13.0,7.0,5.0,174.6,174.5,182.3
23:11:29:35:299 249500,32.7,2014,12000.0,0.0,616,3721.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,800.8,278.3,37.0,14.0,14.0,8.0,6.0,167.8,168.9,165.5
23:11:29:35:311 249500,33.4,2100,12000.0,0.0,2001,11481.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,722.7,278.3,46.0,8.0,11.0,9.0,5.0,175.0,190.8,174.3
23:11:29:35:323 249500,34.5,2095,12000.0,0.0,1196,6806.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,830.1,429.7,37.0,8.0,15.0,8.0,6.0,174.6,173.1,175.7
23:11:29:35:335 249500,32.7,2141,12000.0,0.0,134,803.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967273.0,0.0,732.4,273.4,50.0,7.0,13.0,5.0,5.0,178.4,179.2,166.9
23:11:29:35:347 249500,33.4,2150,12000.0,0.0,857,4822.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,830.1,424.8,38.0,9.0,15.0,10.0,5.0,179.2,180.1,177.7
23:11:29:35:359 249500,33.4,2102,12000.0,0.0,202,1226.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,722.7,283.2,51.0,7.0,12.0,6.0,4.0,175.2,176.4,164.8
23:11:29:35:371 249500,34.0,2096,12000.0,0.0,509,2896.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967275.0,0.0,815.4,273.4,35.0,10.0,15.0,10.0,5.0,174.7,174.3,175.8
23:11:29:35:383 249500,32.7,2135,12000.0,0.0,758,4326.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,776.4,273.4,41.0,9.0,13.0,10.0,5.0,177.9,179.4,175.2
23:11:29:35:395 249500,34.0,2081,12000.0,0.0,411,2332.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,839.8,449.2,35.0,12.0,16.0,12.0,4.0,173.4,172.7,176.2
23:11:29:35:407 249500,34.0,2107,12000.0,0.0,1436,8218.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,820.3,429.7,36.0,11.0,17.0,8.0,7.0,175.6,177.4,174.7
23:11:29:35:419 249500,33.4,2000,12000.0,0.0,128,777.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,693.4,278.3,52.0,6.0,12.0,7.0,3.0,166.7,166.8,164.7
23:11:29:35:431 249500,34.5,2040,12000.0,0.0,855,5206.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,752.0,278.3,48.0,7.0,12.0,7.0,5.0,170.0,174.4,164.2
23:11:29:35:443 249500,32.7,2118,12000.0,0.0,669,3720.0,0.012,19.2,4294967293.0,5.0,4294967267.0,4294967275.0,0.0,776.4,307.6,39.0,8.0,14.0,9.0,5.0,176.5,175.0,179.8
23:11:29:35:455 249500,34.0,2105,12000.0,0.0,875,5061.0,0.012,19.1,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,795.9,307.6,41.0,8.0,15.0,8.0,6.0,175.4,177.3,172.9
23:11:29:35:467 249500,34.5,2071,12000.0,0.0,2030,11682.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,673.8,302.7,54.0,9.0,8.0,7.0,3.0,172.6,128.9,173.8
23:11:29:35:479 249500,32.7,2167,12000.0,0.0,184,1061.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,810.5,273.4,37.0,7.0,15.0,9.0,7.0,180.6,181.3,173.4
23:11:29:35:491 249500,33.4,2086,12000.0,0.0,1791,10364.0,0.012,19.2,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,678.7,273.4,52.0,5.0,12.0,6.0,4.0,173.8,180.3,172.8
23:11:29:35:503 249500,34.5,2084,12000.0,0.0,209,1287.0,0.012,19.0,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,766.6,312.5,43.0,10.0,13.0,9.0,4.0,173.7,175.0,162.4
23:11:29:35:515 249500,34.5,2092,12000.0,0.0,1854,10555.0,0.012,19.2,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,761.7,273.4,43.0,8.0,13.0,7.0,5.0,174.3,164.7,175.7
23:11:29:35:527 249500,32.7,2131,12000.0,0.0,1032,6042.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,820.3,415.0,39.0,6.0,14.0,10.0,5.0,177.6,184.5,170.8
23:11:29:35:539 249500,32.7,2123,12000.0,0.0,122,616.0,0.012,18.9,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,747.1,278.3,46.0,6.0,14.0,7.0,6.0,176.9,175.8,198.1
23:11:29:35:551 249500,34.0,2091,12000.0,0.0,1254,7208.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,771.5,278.3,43.0,7.0,12.0,9.0,6.0,174.3,174.7,174.0
23:11:29:35:563 249500,34.0,2086,12000.0,0.0,1619,9232.0,0.012,19.2,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,761.7,278.3,42.0,13.0,12.0,8.0,5.0,173.8,168.7,175.4
23:11:29:35:575 249500,32.7,2091,12000.0,0.0,892,5082.0,0.012,18.9,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,766.6,278.3,40.0,10.0,16.0,7.0,4.0,174.3,173.3,175.5
23:11:29:35:587 249500,34.0,2089,12000.0,0.0,1442,8314.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,781.3,273.4,42.0,10.0,13.0,10.0,3.0,174.1,175.5,173.4
23:11:29:35:599 249500,34.5,2056,12000.0,0.0,804,4618.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967273.0,0.0,805.7,288.1,38.0,11.0,14.0,9.0,7.0,171.3,169.6,174.1
23:11:29:35:611 249500,34.0,2095,12000.0,0.0,1301,7450.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,752.0,283.2,45.0,7.0,13.0,11.0,4.0,174.6,174.5,174.6
23:11:29:35:623 249500,34.0,2090,12000.0,0.0,217,1197.0,0.012,19.2,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,786.1,278.3,42.0,7.0,13.0,10.0,5.0,174.2,173.4,181.3
23:11:29:35:635 249500,33.4,2056,12000.0,0.0,39,284.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,629.9,278.3,59.0,5.0,9.0,5.0,5.0,171.3,172.2,137.3
23:11:29:35:647 249500,33.4,2059,12000.0,0.0,1908,11017.0,0.012,19.2,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,786.1,307.6,41.0,11.0,12.0,10.0,4.0,171.6,153.6,173.2
23:11:29:35:659 249500,32.7,2091,12000.0,0.0,145,870.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967273.0,0.0,747.1,278.3,46.0,8.0,12.0,10.0,4.0,174.3,174.8,166.7
23:11:29:35:671 249500,34.0,2057,12000.0,0.0,408,2317.0,0.012,19.0,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,830.1,410.2,36.0,7.0,17.0,8.0,7.0,171.4,170.3,176.1
23:11:29:35:683 249500,33.4,2038,12000.0,0.0,1650,9615.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,727.5,273.4,42.0,10.0,13.0,8.0,4.0,169.8,162.7,171.6
23:11:29:35:695 249500,34.0,2088,12000.0,0.0,1605,9285.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,688.5,278.3,51.0,7.0,11.0,8.0,3.0,174.0,177.9,172.9
23:11:29:35:707 249500,33.4,2083,12000.0,0.0,916,5006.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,766.6,273.4,45.0,8.0,15.0,7.0,5.0,173.6,166.9,183.0
23:11:29:35:719 249500,33.4,2112,12000.0,0.0,1207,6781.0,0.012,18.9,4294967292.0,6.0,4294967268.0,4294967275.0,0.0,835.0,268.6,36.0,10.0,15.0,8.0,6.0,176.0,173.4,178.0
23:11:29:35:731 249500,34.0,2166,12000.0,0.0,348,2011.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,771.5,283.2,40.0,8.0,16.0,8.0,6.0,180.5,182.0,173.0
23:11:29:35:743 249500,33.4,2078,12000.0,0.0,1303,7409.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,791.0,429.7,42.0,10.0,13.0,8.0,4.0,173.2,168.8,175.9
23:11:29:35:755 249500,33.4,2058,12000.0,0.0,141,913.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,678.7,278.3,53.0,8.0,12.0,6.0,4.0,171.5,172.9,154.4
23:11:29:35:767 249500,34.0,2155,12000.0,0.0,2069,11527.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,805.7,283.2,37.0,10.0,12.0,9.0,5.0,179.6,181.8,179.5
23:11:29:35:779 249500,34.0,2152,12000.0,0.0,1955,10879.0,0.012,18.9,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,722.7,278.3,50.0,8.0,12.0,8.0,4.0,179.3,175.7,179.7
23:11:29:35:791 249500,33.4,2090,12000.0,0.0,32,183.0,0.012,19.1,4294967294.0,6.0,4294967268.0,4294967275.0,0.0,805.7,268.6,38.0,10.0,14.0,9.0,7.0,174.2,174.2,174.9
23:11:29:35:803 249500,32.7,2030,12000.0,0.0,223,1338.0,0.012,19.1,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,727.5,288.1,47.0,9.0,12.0,10.0,4.0,169.2,169.5,166.7
23:11:29:35:815 249500,33.4,2062,12000.0,0.0,569,3333.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,795.9,434.6,40.0,10.0,15.0,10.0,4.0,171.8,172.3,170.7
23:11:29:35:827 249500,33.4,2150,12000.0,0.0,731,4236.0,0.012,19.0,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,727.5,302.7,46.0,6.0,14.0,8.0,5.0,179.2,182.8,172.6
23:11:29:35:839 249500,32.7,2074,12000.0,0.0,742,4365.0,0.012,19.1,4294967292.0,4.0,4294967267.0,4294967275.0,0.0,776.4,273.4,43.0,8.0,12.0,9.0,5.0,172.8,174.5,170.0
23:11:29:35:851 249500,34.0,2133,12000.0,0.0,164,854.0,0.012,18.9,4294967292.0,5.0,4294967268.0,4294967275.0,0.0,810.5,288.1,37.0,10.0,14.0,9.0,6.0,177.8,176.7,192.0
23:11:29:35:863 249500,34.5,2052,12000.0,0.0,1577,9234.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,791.0,278.3,43.0,8.0,14.0,8.0,5.0,171.0,171.7,170.8
23:11:29:35:875 249500,32.7,2134,12000.0,0.0,12,80.0,0.012,18.9,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,810.5,429.7,39.0,10.0,14.0,8.0,5.0,177.8,178.0,150.0
23:11:29:35:887 249500,34.0,2051,12000.0,0.0,296,1802.0,0.012,19.3,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,673.8,273.4,53.0,9.0,10.0,7.0,4.0,170.9,172.1,164.3
23:11:29:35:899 249500,33.4,2154,12000.0,0.0,1178,6491.0,0.012,18.8,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,781.3,429.7,37.0,10.0,13.0,10.0,5.0,179.5,177.2,181.5
23:11:29:35:911 249500,33.4,2090,12000.0,0.0,1174,6820.0,0.012,19.0,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,752.0,283.2,46.0,8.0,12.0,7.0,4.0,174.2,176.8,172.1
23:11:29:35:923 249500,33.4,2077,12000.0,0.0,806,4732.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,766.6,273.4,44.0,7.0,14.0,10.0,6.0,173.1,174.9,170.3
23:11:29:35:935 249500,34.0,2075,12000.0,0.0,2060,11894.0,0.012,19.2,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,776.4,278.3,44.0,9.0,13.0,8.0,5.0,172.9,141.5,173.2
23:11:29:35:947 249500,33.4,2087,12000.0,0.0,14,86.0,0.012,19.3,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,737.3,273.4,47.0,8.0,13.0,7.0,5.0,173.9,174.0,162.8
23:11:29:35:959 249500,34.5,2022,12000.0,0.0,573,3100.0,0.012,19.3,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,776.4,278.3,42.0,9.0,14.0,8.0,5.0,168.5,162.8,184.8
23:11:29:35:971 249500,34.0,2077,12000.0,0.0,1363,7847.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967275.0,0.0,752.0,307.6,48.0,7.0,15.0,8.0,4.0,173.1,171.9,173.7
23:11:29:35:983 249500,34.0,2046,12000.0,0.0,843,4868.0,0.012,19.3,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,781.3,278.3,43.0,8.0,14.0,11.0,5.0,170.5,168.7,173.2
23:11:29:35:995 249500,33.4,2082,12000.0,0.0,1018,5817.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,761.7,263.7,43.0,10.0,13.0,7.0,5.0,173.5,172.1,175.0
23:11:29:36:007 249400,33.4,2089,12000.0,0.0,43,254.0,0.012,19.1,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,722.7,273.4,48.0,7.0,12.0,7.0,4.0,174.1,174.2,169.3
23:11:29:36:019 249400,33.4,2081,12000.0,0.0,345,2104.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,752.0,307.6,46.0,6.0,15.0,8.0,5.0,173.4,175.4,164.0
23:11:29:36:031 249400,34.0,2137,12000.0,0.0,316,1734.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,810.5,278.3,41.0,7.0,16.0,7.0,6.0,178.1,177.4,182.2
23:11:29:36:043 249400,33.4,1988,12000.0,0.0,1033,6044.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,786.1,283.2,41.0,13.0,14.0,11.0,4.0,165.7,160.3,170.9
23:11:29:36:055 249400,33.4,2022,12000.0,0.0,907,5321.0,0.012,19.4,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,756.8,278.3,47.0,7.0,12.0,10.0,4.0,168.5,166.9,170.5
23:11:29:36:067 249400,34.0,2112,12000.0,0.0,1545,8724.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,844.7,429.7,38.0,8.0,14.0,11.0,6.0,176.0,173.1,177.1
23:11:29:36:079 249400,33.4,2064,12000.0,0.0,672,4110.0,0.012,19.2,4294967292.0,5.0,4294967268.0,4294967274.0,0.0,761.7,278.3,47.0,8.0,13.0,7.0,5.0,172.0,176.4,163.5
23:11:29:36:091 249400,34.5,2166,12000.0,0.0,1822,10065.0,0.012,18.9,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,820.3,278.3,37.0,8.0,16.0,8.0,5.0,180.5,177.8,181.0
23:11:29:36:103 249400,33.4,2110,12000.0,0.0,771,4439.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,776.4,302.7,43.0,8.0,13.0,8.0,5.0,175.8,177.1,173.7
23:11:29:36:115 249400,34.0,2126,12000.0,0.0,1720,9735.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,722.7,278.3,50.0,5.0,13.0,7.0,5.0,177.2,179.2,176.7
23:11:29:36:127 249400,32.7,2115,12000.0,0.0,28,181.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,771.5,444.3,42.0,10.0,14.0,11.0,3.0,176.3,176.6,154.7
23:11:29:36:139 249400,33.4,2134,12000.0,0.0,696,3907.0,0.012,19.0,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,771.5,273.4,44.0,8.0,12.0,9.0,4.0,177.8,177.7,178.1
23:11:29:36:151 249400,33.4,2146,12000.0,0.0,1924,10759.0,0.012,19.2,4294967293.0,4.0,4294967268.0,4294967274.0,0.0,771.5,439.5,42.0,10.0,13.0,10.0,5.0,178.8,178.9,178.8
23:11:29:36:163 249400,34.5,2133,12000.0,0.0,1118,6473.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,761.7,273.4,44.0,7.0,15.0,6.0,6.0,177.8,183.6,172.7
23:11:29:36:175 249400,32.7,2134,12000.0,0.0,267,1482.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,791.0,434.6,44.0,7.0,14.0,7.0,7.0,177.8,177.5,180.2
23:11:29:36:187 249400,33.4,2073,12000.0,0.0,188,1161.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,703.1,273.4,48.0,7.0,14.0,7.0,4.0,172.8,173.9,161.9
23:11:29:36:199 249400,33.4,2151,12000.0,0.0,797,4514.0,0.012,18.9,4294967293.0,5.0,4294967268.0,4294967274.0,0.0,781.3,288.1,42.0,9.0,14.0,10.0,6.0,179.3,180.9,176.6
23:11:29:36:211 249400,32.7,2062,12000.0,0.0,51,307.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,752.0,273.4,43.0,9.0,14.0,8.0,5.0,171.8,172.0,166.1
23:11:29:36:223 249400,32.7,2118,12000.0,0.0,232,1231.0,0.012,18.9,4294967293.0,7.0,4294967268.0,4294967273.0,0.0,815.4,278.3,38.0,12.0,12.0,12.0,4.0,176.5,175.1,188.5
23:11:29:36:235 249400,34.0,2118,12000.0,0.0,1828,10239.0,0.012,18.9,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,786.1,278.3,41.0,7.0,12.0,9.0,6.0,176.5,164.7,178.5
23:11:29:36:247 249400,33.4,2141,12000.0,0.0,255,1380.0,0.012,19.2,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,810.5,268.6,33.0,11.0,17.0,10.0,6.0,178.4,177.6,184.8
23:11:29:36:259 249400,33.4,2117,12000.0,0.0,1412,8043.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,712.9,278.3,45.0,10.0,11.0,9.0,3.0,176.4,178.2,175.6
23:11:29:36:271 249400,33.4,2021,12000.0,0.0,1305,7726.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,756.8,273.4,45.0,8.0,13.0,9.0,3.0,168.4,167.5,168.9
23:11:29:36:283 249400,33.4,2077,12000.0,0.0,807,4590.0,0.012,18.9,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,742.2,278.3,50.0,5.0,11.0,9.0,5.0,173.1,171.4,175.8
23:11:29:36:295 249400,33.4,2121,12000.0,0.0,1083,6237.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967273.0,0.0,708.0,278.3,51.0,10.0,12.0,7.0,4.0,176.8,180.1,173.6
23:11:29:36:307 249400,32.7,2032,12000.0,0.0,152,961.0,0.012,19.2,4294967292.0,7.0,4294967267.0,4294967275.0,0.0,747.1,307.6,48.0,5.0,15.0,7.0,5.0,169.3,170.3,158.2
23:11:29:36:319 249400,32.7,2079,12000.0,0.0,162,928.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,747.1,278.3,48.0,7.0,13.0,8.0,5.0,173.3,173.1,174.6
23:11:29:36:331 249400,34.5,2113,12000.0,0.0,821,4657.0,0.012,18.9,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,708.0,278.3,50.0,8.0,12.0,8.0,5.0,176.1,175.9,176.3
23:11:29:36:343 249400,34.0,2051,12000.0,0.0,984,5683.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,781.3,307.6,42.0,8.0,15.0,7.0,5.0,170.9,168.9,173.1
23:11:29:36:355 249400,33.4,2116,12000.0,0.0,45,239.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,771.5,424.8,43.0,11.0,10.0,10.0,5.0,176.3,176.1,188.3
23:11:29:36:367 249400,35.1,2096,12000.0,0.0,910,5429.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,722.7,273.4,47.0,7.0,15.0,6.0,5.0,174.7,180.5,167.6
23:11:29:36:379 249400,34.0,2095,12000.0,0.0,2033,11635.0,0.012,19.0,4294967292.0,5.0,4294967267.0,4294967273.0,0.0,825.2,429.7,37.0,10.0,14.0,10.0,6.0,174.6,169.9,174.7
23:11:29:36:391 249400,33.4,2091,12000.0,0.0,1489,8397.0,0.012,19.0,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,712.9,288.1,52.0,6.0,11.0,6.0,5.0,174.3,167.1,177.3
23:11:29:36:403 249400,34.5,2068,12000.0,0.0,362,1964.0,0.012,19.2,4294967292.0,6.0,4294967267.0,4294967275.0,0.0,839.8,429.7,36.0,7.0,15.0,9.0,8.0,172.3,170.0,184.3
23:11:29:36:415 249400,32.7,2098,12000.0,0.0,13,73.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,717.8,288.1,48.0,7.0,14.0,4.0,6.0,174.8,174.8,178.1
23:11:29:36:427 249400,35.1,2049,12000.0,0.0,420,2634.0,0.012,19.0,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,712.9,278.3,46.0,8.0,14.0,6.0,4.0,170.8,173.9,159.5
23:11:29:36:439 249400,34.0,2005,12000.0,0.0,1451,8888.0,0.012,19.3,4294967292.0,5.0,4294967267.0,4294967275.0,0.0,668.9,278.3,55.0,7.0,10.0,7.0,3.0,167.1,178.0,163.3
23:11:29:36:451 249400,34.0,2058,12000.0,0.0,1668,9670.0,0.012,19.2,4294967292.0,5.0,4294967268.0,4294967274.0,0.0,839.8,273.4,37.0,9.0,15.0,9.0,6.0,171.5,167.4,172.5
23:11:29:36:463 249400,32.7,2116,12000.0,0.0,1290,7315.0,0.012,19.1,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,820.3,273.4,37.0,8.0,17.0,8.0,6.0,176.3,176.3,176.3
23:11:29:36:475 249400,33.4,2129,12000.0,0.0,833,4605.0,0.012,19.0,4294967293.0,6.0,4294967267.0,4294967273.0,0.0,766.6,278.3,44.0,9.0,13.0,10.0,5.0,177.4,175.3,180.9
23:11:29:36:487 249400,33.4,2090,12000.0,0.0,1262,7179.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,791.0,278.3,42.0,8.0,15.0,8.0,4.0,174.2,171.7,175.8
23:11:29:36:499 249400,34.0,2108,12000.0,0.0,962,5505.0,0.012,18.9,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,800.8,273.4,37.0,12.0,15.0,8.0,6.0,175.7,176.4,174.8
23:11:29:36:511 249400,35.1,2143,12000.0,0.0,37,209.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,752.0,288.1,45.0,7.0,10.0,11.0,4.0,178.6,178.6,177.0
23:11:29:36:523 249400,33.4,2097,12000.0,0.0,1453,8341.0,0.012,19.0,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,708.0,278.3,50.0,8.0,10.0,8.0,4.0,174.8,176.0,174.2
23:11:29:36:535 249400,35.1,2078,12000.0,0.0,1946,11177.0,0.012,19.1,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,693.4,288.1,50.0,6.0,10.0,8.0,3.0,173.2,160.4,174.1
23:11:29:36:547 249400,34.0,2059,12000.0,0.0,1119,6662.0,0.012,19.2,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,722.7,268.6,49.0,6.0,12.0,7.0,5.0,171.6,176.1,168.0
23:11:29:36:559 249400,33.4,2077,12000.0,0.0,55,293.0,0.012,19.1,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,761.7,268.6,44.0,8.0,13.0,7.0,6.0,173.1,172.7,187.7
23:11:29:36:571 249400,32.7,2116,12000.0,0.0,578,3313.0,0.012,19.0,4294967292.0,6.0,4294967267.0,4294967274.0,0.0,810.5,278.3,40.0,7.0,17.0,7.0,7.0,176.3,177.0,174.5
23:11:29:36:583 249400,34.0,2102,12000.0,0.0,241,1363.0,0.012,18.9,4294967293.0,6.0,4294967267.0,4294967274.0,0.0,795.9,283.2,37.0,10.0,15.0,9.0,5.0,175.2,175.0,176.8
23:11:29:36:595 249400,33.4,2083,12000.0,0.0,559,3090.0,0.012,19.1,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,849.6,273.4,39.0,9.0,14.0,10.0,6.0,173.6,171.0,180.9
23:11:29:36:607 249400,33.4,2063,12000.0,0.0,361,2088.0,0.012,19.1,4294967293.0,5.0,4294967268.0,4294967275.0,0.0,756.8,278.3,44.0,8.0,15.0,10.0,5.0,171.9,171.7,172.9
23:11:29:36:619 249400,33.4,2085,12000.0,0.0,764,4346.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,810.5,429.7,40.0,7.0,17.0,7.0,5.0,173.8,172.6,175.8
23:11:29:36:631 249400,34.5,2017,12000.0,0.0,853,5130.0,0.012,19.3,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,727.5,273.4,49.0,7.0,12.0,7.0,6.0,168.1,169.4,166.3
23:11:29:36:643 249400,33.4,2160,12000.0,0.0,248,1517.0,0.012,18.9,4294967293.0,5.0,4294967267.0,4294967274.0,0.0,742.2,273.4,48.0,6.0,13.0,8.0,5.0,180.0,182.4,163.5
23:11:29:36:655 249400,33.4,2087,12000.0,0.0,934,5432.0,0.012,19.0,4294967292.0,7.0,4294967267.0,4294967274.0,0.0,810.5,424.8,41.0,6.0,17.0,7.0,5.0,173.9,175.5,171.9
23:11:29:36:667 249400,34.0,2099,12000.0,0.0,1841,10532.0,0.012,19.2,4294967292.0,5.0,4294967267.0,4294967274.0,0.0,727.5,278.3,45.0,8.0,13.0,9.0,4.0,174.9,175.7,174.8
23:11:29:36:679 249400,33.4,2126,12000.0,0.0,1832,10351.0,0.012,18.8,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,708.0,459.0,50.0,8.0,11.0,6.0,4.0,177.2,178.3,177.0
23:11:29:36:691 249400,33.4,2149,12000.0,0.0,523,2850.0,0.012,18.8,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,800.8,273.4,42.0,9.0,13.0,9.0,5.0,179.1,177.7,183.5
