Demonstrator:,LeCheylas
Site Owner:,EDF
Sensor type:,AcousticEmission
Measurement units:,multiple
Sensor location:,MIV S6
Orientation:,NA
Sensor installed by:,NORCE
Sensor installed on:,01.01.2026
Sensor scaling factor:,NA
Pre-processing performed:,Calculated
Sensor precision:,16 bit
Sensor sampling rate:,=1/1000000
Sensor range:,15kHz-70kHz

Arrival time,Amplitude,Counts,Duration,Energy,Rise counts,Rise Time,RMS(mV),ASL(dB),External Parametrics1,External Parametrics2,External Parametrics3,External Parametrics4,External Parametrics5,Frequency Centroid(kHz),Peak Frequency(kHz),Partial Power1(%),Partial Power2(%),Partial Power3(%),Partial Power4(%),Partial Power5(%),AverageFreq,EchoFreq,InitFreq
23:10:42:55:276 775000,34.0,2227,12000.0,0.0,2194,11810.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,795.9,278.3,42.0,9.0,12.0,11.0,5.0,185.6,173.7,185.8
23:10:42:55:288 775000,34.0,2147,12000.0,0.0,64,396.0,0.012,19.3,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,781.3,283.2,41.0,7.0,13.0,9.0,5.0,178.9,179.5,161.6
23:10:42:55:300 775000,33.4,2237,12000.0,0.0,772,4239.0,0.012,19.1,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,820.3,273.4,37.0,10.0,12.0,9.0,5.0,186.4,188.8,182.1
23:10:42:55:312 775000,32.7,2137,12000.0,0.0,35,203.0,0.012,19.3,4294967293.0,8.0,4294967268.0,4294967275.0,0.0,791.0,307.6,39.0,10.0,13.0,10.0,5.0,178.1,178.2,172.4
23:10:42:55:324 775000,35.1,2166,12000.0,0.0,21,197.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,737.3,278.3,49.0,6.0,12.0,8.0,4.0,180.5,181.7,106.6
23:10:42:55:336 775000,32.7,2166,12000.0,0.0,64,377.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,791.0,302.7,41.0,10.0,11.0,11.0,4.0,180.5,180.8,169.8
23:10:42:55:348 775000,34.0,2250,12000.0,0.0,1308,6955.0,0.012,19.0,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,810.5,283.2,38.0,7.0,13.0,11.0,5.0,187.5,186.7,188.1
23:10:42:55:360 775000,33.4,2246,12000.0,0.0,743,4034.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,727.5,278.3,46.0,8.0,12.0,8.0,5.0,187.2,188.7,184.2
23:10:42:55:372 775000,33.4,2134,12000.0,0.0,822,4758.0,0.012,19.5,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,747.1,278.3,46.0,8.0,13.0,8.0,4.0,177.8,181.2,172.8
23:10:42:55:384 775000,34.0,2160,12000.0,0.0,221,1223.0,0.012,19.4,4294967293.0,6.0,4294967269.0,4294967274.0,0.0,800.8,263.7,39.0,11.0,13.0,11.0,5.0,180.0,179.9,180.7
23:10:42:55:396 775000,34.5,2151,12000.0,0.0,590,3262.0,0.012,19.4,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,791.0,302.7,43.0,10.0,12.0,10.0,4.0,179.3,178.6,180.9
23:10:42:55:408 775000,33.4,2209,12000.0,0.0,775,4276.0,0.012,19.3,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,800.8,288.1,42.0,8.0,10.0,9.0,6.0,184.1,185.7,181.2
23:10:42:55:420 775000,32.7,2250,12000.0,0.0,43,218.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,844.7,273.4,34.0,8.0,14.0,11.0,6.0,187.5,187.3,197.2
23:10:42:55:432 775000,34.5,2204,12000.0,0.0,403,2323.0,0.012,19.0,4294967292.0,7.0,4294967268.0,4294967275.0,0.0,795.9,302.7,41.0,9.0,12.0,10.0,6.0,183.7,186.1,173.5
23:10:42:55:444 775000,33.4,2237,12000.0,0.0,341,1708.0,0.012,19.2,4294967292.0,7.0,4294967267.0,4294967274.0,0.0,918.0,424.8,27.0,14.0,14.0,15.0,5.0,186.4,184.2,199.6
23:10:42:55:456 775000,33.4,2180,12000.0,0.0,645,3471.0,0.012,19.3,4294967294.0,7.0,4294967268.0,4294967274.0,0.0,800.8,424.8,39.0,10.0,12.0,10.0,5.0,181.7,180.0,185.8
23:10:42:55:468 775000,33.4,2124,12000.0,0.0,1990,11199.0,0.012,19.2,4294967292.0,8.0,4294967268.0,4294967274.0,0.0,727.5,278.3,46.0,10.0,9.0,8.0,5.0,177.0,167.3,177.7
23:10:42:55:480 775000,34.0,2133,12000.0,0.0,499,2592.0,0.012,19.4,4294967293.0,6.0,4294967269.0,4294967274.0,0.0,859.4,444.3,34.0,11.0,12.0,14.0,5.0,177.8,173.7,192.5
23:10:42:55:492 775000,33.4,2215,12000.0,0.0,935,4970.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,800.8,278.3,41.0,8.0,12.0,10.0,6.0,184.6,182.1,188.1
23:10:42:55:504 775000,34.0,2212,12000.0,0.0,1744,9528.0,0.012,19.2,4294967293.0,7.0,4294967269.0,4294967273.0,0.0,771.5,268.6,42.0,10.0,12.0,10.0,5.0,184.3,189.3,183.0
23:10:42:55:516 775000,32.7,2232,12000.0,0.0,744,4012.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,786.1,273.4,42.0,10.0,12.0,10.0,5.0,186.0,186.3,185.4
23:10:42:55:528 775000,33.4,2145,12000.0,0.0,903,5035.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,795.9,283.2,41.0,9.0,15.0,9.0,5.0,178.8,178.3,179.3
23:10:42:55:540 775000,34.0,2215,12000.0,0.0,949,5274.0,0.012,19.1,4294967293.0,8.0,4294967268.0,4294967274.0,0.0,805.7,273.4,41.0,7.0,12.0,9.0,6.0,184.6,188.2,179.9
23:10:42:55:552 775000,34.5,2196,12000.0,0.0,14,96.0,0.012,19.1,4294967292.0,6.0,4294967268.0,4294967275.0,0.0,761.7,273.4,41.0,8.0,10.0,9.0,7.0,183.0,183.3,145.8
23:10:42:55:564 775000,33.4,2131,12000.0,0.0,1052,5942.0,0.012,19.4,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,800.8,283.2,40.0,7.0,14.0,8.0,5.0,177.6,178.1,177.0
23:10:42:55:576 775000,32.7,2207,12000.0,0.0,554,3051.0,0.012,19.1,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,869.1,2275.4,33.0,14.0,11.0,9.0,5.0,183.9,184.7,181.6
23:10:42:55:588 775000,33.4,2161,12000.0,0.0,476,2667.0,0.012,19.1,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,869.1,2275.4,33.0,11.0,13.0,14.0,6.0,180.1,180.5,178.5
23:10:42:55:600 775000,34.0,2179,12000.0,0.0,2141,11744.0,0.012,19.1,4294967293.0,7.0,4294967269.0,4294967274.0,0.0,800.8,424.8,42.0,7.0,13.0,10.0,5.0,181.6,148.4,182.3
23:10:42:55:612 775000,33.4,2156,12000.0,0.0,464,2574.0,0.012,19.3,4294967293.0,7.0,4294967269.0,4294967274.0,0.0,800.8,268.6,44.0,10.0,12.0,8.0,5.0,179.7,179.5,180.3
23:10:42:55:624 775000,32.7,2149,12000.0,0.0,191,1138.0,0.012,19.4,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,732.4,268.6,46.0,7.0,12.0,8.0,5.0,179.1,180.3,167.8
23:10:42:55:636 775000,34.0,2145,12000.0,0.0,586,3207.0,0.012,19.5,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,791.0,419.9,43.0,11.0,11.0,8.0,4.0,178.8,177.3,182.7
23:10:42:55:648 775000,34.0,2228,12000.0,0.0,1467,7930.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,786.1,302.7,44.0,8.0,10.0,10.0,4.0,185.7,187.0,185.0
23:10:42:55:660 775000,34.0,2238,12000.0,0.0,1631,8802.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,844.7,288.1,38.0,8.0,14.0,8.0,6.0,186.5,189.8,185.3
23:10:42:55:672 775000,33.4,2154,12000.0,0.0,1338,7575.0,0.012,19.4,4294967292.0,7.0,4294967268.0,4294967275.0,0.0,795.9,302.7,42.0,9.0,13.0,9.0,5.0,179.5,184.4,176.6
23:10:42:55:684 775000,34.5,2214,12000.0,0.0,616,3487.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,800.8,273.4,41.0,11.0,12.0,11.0,5.0,184.5,187.7,176.7
23:10:42:55:696 775000,32.7,2162,12000.0,0.0,782,4167.0,0.012,19.3,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,776.4,283.2,43.0,10.0,11.0,8.0,5.0,180.2,176.2,187.7
23:10:42:55:708 775000,32.7,2212,12000.0,0.0,1016,5448.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,747.1,273.4,46.0,9.0,10.0,10.0,5.0,184.3,182.5,186.5
23:10:42:55:720 775000,34.0,2196,12000.0,0.0,446,2434.0,0.012,19.2,4294967294.0,7.0,4294967268.0,4294967274.0,0.0,810.5,424.8,32.0,11.0,13.0,10.0,6.0,183.0,182.9,183.2
23:10:42:55:732 775000,33.4,2188,12000.0,0.0,222,1220.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,776.4,273.4,43.0,9.0,10.0,9.0,5.0,182.3,182.4,182.0
23:10:42:55:744 775000,34.5,2177,12000.0,0.0,1377,7542.0,0.012,19.4,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,815.4,273.4,35.0,9.0,12.0,13.0,4.0,181.4,179.5,182.6
23:10:42:55:756 775000,33.4,2191,12000.0,0.0,1240,6781.0,0.012,19.3,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,800.8,302.7,40.0,8.0,12.0,10.0,5.0,182.6,182.2,182.9
23:10:42:55:768 775000,33.4,2179,12000.0,0.0,2107,11639.0,0.012,19.1,4294967293.0,8.0,4294967268.0,4294967274.0,0.0,766.6,278.3,43.0,10.0,11.0,9.0,5.0,181.6,199.4,181.0
23:10:42:55:780 775000,34.5,2222,12000.0,0.0,1895,10225.0,0.012,19.0,4294967292.0,7.0,4294967267.0,4294967274.0,0.0,854.5,424.8,37.0,9.0,11.0,12.0,5.0,185.2,184.2,185.3
23:10:42:55:792 775000,34.0,2168,12000.0,0.0,1905,10469.0,0.012,19.4,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,791.0,288.1,41.0,9.0,12.0,10.0,5.0,180.7,171.8,182.0
23:10:42:55:804 775000,33.4,2209,12000.0,0.0,274,1497.0,0.012,19.1,4294967292.0,6.0,4294967269.0,4294967275.0,0.0,835.0,278.3,39.0,9.0,14.0,9.0,6.0,184.1,184.2,183.0
23:10:42:55:816 775000,33.4,2163,12000.0,0.0,2135,11831.0,0.012,19.3,4294967293.0,6.0,4294967269.0,4294967274.0,0.0,752.0,273.4,43.0,10.0,12.0,8.0,5.0,180.3,165.7,180.5
23:10:42:55:828 775000,34.5,2188,12000.0,0.0,70,428.0,0.012,19.3,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,727.5,273.4,46.0,7.0,11.0,9.0,4.0,182.3,183.0,163.6
23:10:42:55:840 775000,34.0,2212,12000.0,0.0,1106,6035.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,844.7,273.4,36.0,8.0,15.0,8.0,7.0,184.3,185.4,183.3
23:10:42:55:852 775000,34.5,2186,12000.0,0.0,1518,8373.0,0.012,19.2,4294967293.0,7.0,4294967269.0,4294967275.0,0.0,849.6,424.8,36.0,8.0,16.0,10.0,7.0,182.2,184.2,181.3
23:10:42:55:864 775000,34.0,2215,12000.0,0.0,229,1205.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,835.0,268.6,39.0,10.0,13.0,10.0,5.0,184.6,184.0,190.0
23:10:42:55:876 775000,34.0,2167,12000.0,0.0,1416,7866.0,0.012,19.3,4294967292.0,7.0,4294967268.0,4294967274.0,0.0,786.1,278.3,43.0,9.0,10.0,12.0,4.0,180.6,181.7,180.0
23:10:42:55:888 775000,34.5,2151,12000.0,0.0,1695,9471.0,0.012,19.5,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,839.8,302.7,37.0,7.0,15.0,11.0,6.0,179.3,180.3,179.0
23:10:42:55:900 775000,34.0,2114,12000.0,0.0,673,3814.0,0.012,19.3,4294967292.0,6.0,4294967268.0,4294967274.0,0.0,766.6,288.1,43.0,8.0,14.0,9.0,5.0,176.2,176.0,176.5
23:10:42:55:912 775000,34.0,2179,12000.0,0.0,2142,11709.0,0.012,19.3,4294967294.0,7.0,4294967268.0,4294967274.0,0.0,761.7,278.3,42.0,10.0,13.0,9.0,5.0,181.6,127.1,182.9
23:10:42:55:924 775000,34.5,2137,12000.0,0.0,1640,9106.0,0.012,19.3,4294967293.0,6.0,4294967268.0,4294967275.0,0.0,786.1,288.1,39.0,8.0,15.0,8.0,5.0,178.1,171.7,180.1
23:10:42:55:936 775000,33.4,2211,12000.0,0.0,698,3743.0,0.012,19.0,4294967293.0,7.0,4294967269.0,4294967274.0,0.0,835.0,283.2,39.0,9.0,12.0,10.0,7.0,184.3,183.2,186.5
23:10:42:55:948 775000,33.4,2156,12000.0,0.0,1136,6074.0,0.012,19.2,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,878.9,419.9,31.0,14.0,11.0,14.0,5.0,179.7,172.1,187.0
23:10:42:55:960 775000,33.4,2127,12000.0,0.0,262,1511.0,0.012,19.5,4294967293.0,7.0,4294967269.0,4294967273.0,0.0,776.4,278.3,44.0,8.0,12.0,8.0,6.0,177.3,177.8,173.4
23:10:42:55:972 775000,33.4,2213,12000.0,0.0,292,1548.0,0.012,19.3,4294967293.0,6.0,4294967268.0,4294967274.0,0.0,815.4,278.3,38.0,9.0,13.0,9.0,6.0,184.4,183.8,188.6
23:10:42:55:984 775000,34.5,2204,12000.0,0.0,1996,10874.0,0.012,19.0,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,859.4,283.2,39.0,8.0,13.0,11.0,5.0,183.7,184.7,183.6
23:10:42:55:996 775000,35.1,2176,12000.0,0.0,497,2788.0,0.012,19.1,4294967293.0,7.0,4294967268.0,4294967275.0,0.0,825.2,415.0,34.0,12.0,12.0,9.0,6.0,181.3,182.3,178.3
23:10:42:56:008 774900,33.4,2224,12000.0,0.0,807,4388.0,0.012,19.2,4294967293.0,7.0,4294967267.0,4294967274.0,0.0,815.4,278.3,41.0,8.0,14.0,7.0,7.0,185.3,186.2,183.9
23:10:42:56:020 774900,33.4,2208,12000.0,0.0,1724,9299.0,0.012,19.2,4294967293.0,7.0,4294967268.0,4294967274.0,0.0,786.1,273.4,41.0,10.0,12.0,12.0,4.0,184.0,179.2,185.4
23:10:42:56:032 774900,34.0,2141,12000.0,0.0,171,1060.0,0.012,19.3,4294967294.0,7.0,4294967268.0,4294967274.0,0.0,727.5,302.7,49.0,6.0,12.0,7.0,5.0,178.4,180.1,161.3
23:10:42:56:044 774900,34.0,2156,12000.0,0.0,879,4941.0,0.012,19.5,4294967294.0,6.0,4294967268.0,4294967274.0,0.0,800.8,278.3,36.0,8.0,13.0,10.0,5.0,179.7,180.9,177.9
23:10:42:56:056 774900,35.1,2179,12000.0,0.0,240,1329.0,0.012,19.5,4294967293.0,8.0,4294967268.0,4294967274.0,0.0,820.3,444.3,36.0,15.0,10.0,13.0,3.0,181.6,181.7,180.6
